ilinok	ilinek
patato	patato
diachap	diachap
scocellec	skosellek
takounerez	takonerezh
marc'h-ær	marc'h-aer
pistiget	pistigañ
annamiz	Annamad
Livna	livnañ
lc'hlistri	lec'h-c'hoari
sciel	siell
kollou	koll
a ziscamp	diskampañ
ar gristenach	kristenaj
koulsoc'h	koulz
begad	begad
iaou Bask	Yaou-Bask
dizampouezouni	dizampoezoniñ
dizesk	dizesk
lipousiez	lipouziezh
listri a vrezel	lestr-brezel
parea	pareañ
gwenodenn	gwenodenn
Ken-eskop	keneskob
sevennet mad	sevenet
solanelamant	solennelamant
ribin	ribin
drail-vein	drailhvein
vanil	vanilh
Abafet	abafet
a recommandas	rekomandiñ
souten	souten
takounet	takonet
er groez	kroaz
tantationeu	tantasion
châs	chas
frauder	floder
gabanen	kabanenn
kornouriez	kornouriez
mitik	mitig
kuh	kuzh
penijen	pinijenn
vaille	vailh
dic'halloudez	dic'halloudezh
Gaouierez	gaouierezh
kalzennou	kalzenn
tripoterez	tripoterezh
garinebet	garenebiñ
Paogamm	pavgamm
chaked	chaokat
hentchou	hent
bëchekh	bechig
darc'ha	darc'hañ
vindrail	mindrailh
degass	degas
gwarm	gwaremm
bremaik	bremaik
hentchou	hent
labaskenn	labaskenn
randounen	randonenn
Morad	morad
dleourien	dleour
terriet	terriet
izel	izel
librance	librañs
dizañtren	dizantren
beza e chal gant	chal
zic'hodella	dic'hodellañ
divoutona	divountonañ
gouall vankout	gwallvankout
Pistaon	pistaon
zislea	dizleañ
despeigni	despegniñ
lovradur	lovradur
dislonk	dislonk
ingal	ingal
havreqéet	havrekaat
Borzcaer	Porzh-Kaer
bremaik	bremaik
humenidiguez	humenidigezh
iforna	ifornañ
Lambader	Lambader
aridennad	aridennad
jaugeable	jaojapl
oll-c'halloudeg	hollc'halloudeg
estremded	estremded
déjunet	dijuniñ
mouralio	morailh
dizeur	dizeur
soubould	soubould
duta	tuta
torchennet	torchennet
barner a beoc'h	barner-a-beoc'h
edok	edek
Soubenna	soubennañ
mailluret	mailhuret
Stern dor	sterndor
begad	begad
penfolet	pennfollet
Gwic'hal	gwic'hal
diac'huz	diyac'hus
c'hoari toul-pouliq	toullpoullig
meis	meiz
ur varaen	baraenn
glazennek	glazennek
bloavechennou	bloavezhiennoù
asvoalc'hi	azgwalc'hiñ
abostoler	abostoler
diwikhofreet	diwikefreet
ur brosen	prozenn
troc'h-goug	troc'h-gouzoug
neket	neket
fumi	fumañ
bourouz	bourouz
begad	begad
gwall	gwall
mestr-danz	mestrdañs
skridou	skrid
Didrompein	didromplañ
einebage	enebaj
mane	mann
war vlar	war-vlar
despeigni	despegniñ
mignaoual	mignaoual
Reed	reed
dizenoui	dizenoeiñ
paboni	paboni
sar-galon	sargalon
Têtebie	tetebie
Lambader	Lambader
marc'h kulier	marc'h-kulier
Doucig	dousik
distalav	distalaf
abascder	habaskter
Izkuz	iskuz
frak	frak
meuta	meuta
dleour	dleour
seitêcvèd	seitekvet
peur-rest	peurrest
gamdroïeu	kammdro
paguig	bag
neantet	neantet
melenuz	melenus
morvleizi	morvleiz
aoter	aoter
heuzaouer	heuzaouer
zaltin	saltin
diez	diaez
interior	interior
tivlat	teolad
loré	lore
mintinves	mintinvezh
Sederaat	sederaat
pors-cloz	porzhkloz
dirouestl	dirouestl
plantedigez	plantedigezh
staolet	steurel
spled	spled
Daleer	daleer
motennet	motennet
a izelea	izelaat
Takon	takon
bifiga	pibidañ
receuerion	resever
dezinterez	dizinterest
pave	pavez
melhec	mellek
aubaden	aobadenn
arc'hdiakr	arc'hdiakr
Antifonennou	antifonenn
ali	ali
zaotr	saotr
a zicouras	sikour
everz	hewerzh
Glazenn	glazenn
mouger-goulou	mouger-gouloù
en coach	koach
spluzeg	spluseg
Koulinez	koulinez
æstig	eostig
intennein	intenniñ
temjo	temzioù
divlaz	divlaz
vis en advènt	Azvent
dibrenest	dibrenestr
mintinvez	mintinvezh
divouiek	diouiziek
Diveñt	divent
renoncereah	renoñserezh
a accord	akort
Mor-c'hrek	morwreg
benefi	penefi
Sentuz	sentus
béiein	beziañ
koreenno	korreenn
fal-vin	fallvin
be-vech	bewech
divehet	divec'hiañ
naturel	naturel
a flao	flav
Koaza	koazhañ
plac'h bihan	plac'h-vihan
discreden	diskredenn
vantrebistac'h	vantrebistac'h
risk	risk
asgoalc'hit	azgwalc'hiñ
gourgammou	gourgamm
stâlet	stalet
digloset	digloset
had-dresset	addresañ
zieubi	dieubiñ
sqebel tousseg	skabell-touseg
zistrafuilla	distrafuilhañ
fionnage	fionaj
Lard-toas	lart-toaz
livrour	levrer
distorlok	distorlok
ar c'hlaskerien ho bouëd	klasker-e-voued
