Abafet	abafet
disentamant	disentamant
diskianteka	diskiantek
dislea	dizleañ
dislonk	dislonk
disloñnket	dislonket
disouillet	disouilhañ
dissimur	disimur
distalav	distalaf
distreina	distreinañ
divagannet	difaganet
divehet	divec'hiadivec'hadivec'hi
divehet	divec'hiañ
divend	divent
Diveñt	divent
divlas	divlaz
divoaz	divoas
divoursein	divoursañ
divoutona	divountonañ
divouton	divounton
divraza	divrazañ
divroidi	divroad
diwikhofreet	diwikefreet
dizampouezouni	dizampoezoniñ
dizañtren	dizantren
dizarle	dizarle
dizenoui	dizenoeiñ
dizesk	dizesk
dizeur	dizeur
dizoan	dizoan
dleour	dleour
dleourien	dleour
doan	doan
domach	domaj
Doucig	dousik
dourne-oh-dourne	dorn-ouzh-dorn
dousen	dousenn
drail-vein	drailhvein
dremedal	dremedal
dreuz	truez
drompladurez	trompladurezh
dromplæson	tromplezon
droug-preseguêres	droukprezegerezh
dûardur	duardur
duemèt	tommaat
dûquel	kel
duta	tuta
ebet	abad
edok	edek
eih-diat	eizhteziad
eil-beved	eilbevañ
einebage	enebaj
eizdezyeg	eizhteziek
emgannet	emgannañ
en coach	koach
enn dribunal	tribunal
entanet	entanet
envoadet	enwadet
e rapin	rapinañ
ergentaou	ergentaou
er hloehen	glizhenn/gwlizhenn
erruet	erruet
er varaèn	baraenn
esterloup	esterloup
estremded	estremded
eur ganen	kanenn
eur wianen	gwianenn
e varikleze	marikleza
e zivras	divrazañ
fablen	fablenn
fals-kredennou	falskredenn
farcerez	farserezh
farouel	farouell
farserez	farserezh
fic'h	fic'h
finisa	finisañ
flamboz	flamboz
flaoñ	flav
flastret	flastret
flastr	flastr
flatrerez	flatrerezh
flojeal	flojeal
forbanat	forbannat
founta	fontañ
fourradou	fourrad
frak	frak
frauder	floder
from	froum
frug-penn	frug-penn
fuladen	fuladenn
fumi	fuma?/fumi?/fumal
fumi	fumañ
fuzillet	fuzuilhañ
gabanen	kabanenn
gairr	keur
gamdroïeu	kammdro
gamz	kamz
Gaouierez	gaouierezh
garinebet	garenebiñ
ged	get
gempennet	kempennet
gimaçus	grimasus
glaouaer	glaouaer
glazennek	glazennek
Glazenn	glazenn
glazet	glazet
gleu	krao
gleupach	gleupaj
glizen Vaudez	Maodez
goaf	goaf
goal-beden	gwallbedenn
goal-guemeret	gwallgemeret
goal-hent	gwallhent
goal-stad	gwallstad
god	kod
gomport	komport
goroadenn	goroadenn
gouall vankout	gwallvankout
gourgammou	gourgamm
goustet	gousti?
grollerès	korollerez
guall Elez	gwallael
gulator	kulator
gwall	gwall
gwarm	gwaremm
gwenodenn	gwenodenn
Gwic'hal	gwic'hal
had-dresset	addresa
had-dresset	addresañ
hadgwelet	adwelout
hadkoachet	adkoacha
hadrei	adreiñ
handad	kantad
hantera	hanterañ
hanter-heur	hantereur
hardel	kardell
harpa ouc'h	harpañ
havreqéet	havrekaat
heuzañ	heuzañ
heuzaouer	heuzaouer
hoarnation	gouarnasion
humenidiguez	humenidigezh
iaou Bask	Yaou-Bask
ibila	ibilañ
iforna	ifornañ
ilinok	ilinek
impar	ampar
ingal	ingal
instituet	instituañ
intennein	intenniñ
interior	interior
isfond	isfont
iskuz	iskuz
ispridet	ispridet
izel	izel
izilied	iziliet
Izkuz	iskuz
jaugeable	jaojapl
kalzennou	kalzenn
karoulle	karoulle
Kefiniañtez	kevniantez
Ken-eskop	keneskob
kenklao	kenklav
kigeret	kigeriñ
kinézen	kignezenn
koañtiz	koantiz
Koaza	koazhañ
kofili	kofilis
kollou	koll
koll out	koll
kommand eost	koumanant-eost
kompez	kompez
kornouriez	kornouriez
kougouleet	kougoulaat
Koulinez	koulinez
koulsoc'h	koulz
krot	krot
kroummellenn he zibr	krommellenn-dibr
kuh	kuzh
kuneheg	gwinizheg
labaskenn	labaskenn
lanevez	lannevez
laouik	laouig
Laou	Laou
lardous	lardous
Lard-toas	lart-toaz
lc'hlistri	lec'h-c'hoari
leinouryen	leiner
leneu	lenn
lenn	lenn
léprus	lepruz
levenedigez	levenedigezh
librance	librañs
liñtrouer	lintrouer
lipousiez	lipouziezh
listri a vrezel	lestr-brezel
Livna	livnañ
lized	lizet
Lodennek	lodennek
loré	lore
loskus	loskus
lovradur	lovradur
lusquemanteu	luskamant
mailluret	mailhuret
malevennet	malevennet
mane	mann
manioc	maniok
marc'h-ær	marc'h-aer
marc'hed	marc'het
marc'h kulier	marc'h-kulier
mar-dan-doustik	mardandoustik
masclet	masklet
meaz	maez
meis	meiz
meis	meiz/mez
melenuz	melenus
melhec	mellek
melodiussa	melodius
merzerentiou	merzherinti
mestr-danz	mestrdañs
meuta	meuta
mignaoual	mignaoual
minoten	minotenn
mitik	mitig
moalet	moalañ
Morad	morad
morbig-marellet	morbig-marellet
Mor-c'hrek	morwreg
morfad	moarvat
mor-gragez	morwreg
morléein	morleiñ
morvleizi	morvleiz
motennet	motennet
mouger-goulou	mouger-gouloù
mouistet	mouestet
moumou	moumoun
mouralio	morailh
multrer	muntrer
nadozet	nadoziñ
neantet	neantet
neket	neket
nezadegou	nezadeg
noaz-bloc'h	noazh-blouc'h
Normandi	Normandi
noter	noter
nouz pegeit	nouspegeit
ober klask	klask
oliou	oliou
oll-c'halloudeg	hollc'halloudeg
oll-pur	hollbur
onix	oniks
or-porched	dor-borched
o voenni	gouenniñ
paboni	paboni
padable	padapl
paguig	bag
palarennad	palarenn
Paludenn	paludenn
Paogamm	pavgamm
paon	paoñ
pa	pa
parbleur	parbleur
parea	pareañ
patato	patato
pave	pavez
p'eguir	peogwir
pempiao	pempigañ
penfolet	pennfollet
pengeneign	pengenniñ
penijen	pinijenn
penn-foll	pennfoll
perjouissa	peurjouisañ
petoare	petore
peulvan	peulvan
peur-aichu	peurechu
peurest	peurrest
peur-glasq	peurglask
peur-laza	peurlazhañ
peur-rest	peurrest
pillerad	pilerad
piltoz	piltos
Pistaon	pistaon
pistiget	pistigañ
plac'h bihan	plac'h-vihan
pladennec	pladennek
plantedigez	plantedigezh
poenieu	poan
polisenni	polisenniñ
pors-cloz	porzhkloz
precho	pres
prest	prest
ramplus	ramplus
randounen	randonenn
ran-galon	ranngalon
ravoderez	ravoderezh
razein	raziñ
realamant	realamant
rebechou	rebech
rebutet	reputañ/reputiñ
receuerion	resever
Reed	reed
rei golo	reiñ
reneuéamant	renevezamant
renket	renket
renoncereah	renoñserezh
renoncereah	renoserezh
reposvan	repozvan
ribin	ribin
richen	richen
rimaderez	rimaderezh
risk	risk
Rogasionou	rogasion
rumadigueah	rummadigezh
sal	seul
sar-galon	sargalon
sciel	siell
scocellec	skosellek
scorn	skorn
scrign-dent	skrign-dent
sec'het	sec'het
Sederaat	sederaat
seitêcvèd	seitekvet
sellerien	seller
Semenn	semenn
Sentuz	sentus
sermant	sermant
setîm	setim
sevennet mad	sevenet
sich	sich
siet	siet
skañtek	skanteg
Sklasa	sklasañ/sklasiñ
skob	skob
skodeu	skod
skora	skorañ
skouer-bañk	skouer-bank
skridou	skrid
skubunadou	skubennadoù
skurpul	skorpul
soignus	sognus
soken	zoken
solanelamant	solennelamant
Soubenna	soubennañ
soubould	soubould
souezuz	souezhus
soulen	soulenn
souten	souten
spalouër bras	sparfell-vras
spinac'ha	spinac'hañ
splanzer	splannzer
spled	spled
spluzeg	spluseg
spont	spont
spouronnuz	spouronus
spurja	spurjañ/spurjiñ
spurmanter	spurmantiñ
squeudus	skedus
stadudet	statudañ
stalerez	stalerezh
staolet	steurel
Stern dor	sterndor
substantein	substantiñ
sul	sul
surtout	surtout
symbolen	simbolenn
tafia	tafia
Takon	takon
takounerez	takonerezh
takounet	takonet
tana	tanañ
taneoc'h	tane
tantationeu	tantasion
taoliou amzer	taol-amzer
taouen	taouen
tardemant	tardamant
tas	tas
temjo	temzioù
terriet	terriet
test	test
Têtebie	tetebie
thereza	tereza
tivlat	teolad
toreres kraou	torrerez-kraoñ
toump	toump
toupin	toupin
tourkejou	tourked
trabas	trabas
trabel	trabell
tranquilite	trankilite
traouillerou	traouilher
trapout	trapout
trec'h	trec'h
treujou	treuzoù
tripoterez	tripoterezh
troc'her-coat	troc'her-koad
troc'h-goug	troc'h-gouzoug
troublidiguez	troublidigezh
trouc'her-buzug	troc'her-buzhug
truillennok	truilhennek
ur barti	parti
ur brosen	prozenn
vagajenna	magazennañ
vaille	vailh
vanil	vanilh
vincius	visius
vindrail	mindrailh
vintinvez	mintinvezh
vis en advènt	Azvent
visenadvnt	Azvent
voall-aviuz	gwallavius
votinesen	botinezenn
vourc'h-Venn	Bourc'h-Wenn
vousc'hoarzin	mousc'hoarzhin
vovoau	vovo
vrea	brae
vriata	briata
war vlar	war-vlar
zaltin	saltin
zaotr	saotr
ziacouragein	diakourajiñ
zic'hodella	dic'hodellañ
zieubi	dieubiñ
zis-fe	disfeiz
zislea	dizleañ
zismantra	dismantrañ
zistrafuilla	distrafuilha
zistrafuilla	distrafuilhañ
zouellerez	touellerezh
goaderezed marc'h	gwaderez-varc'h
miller	miller
gouskaë	kousk-aez
kloc'h-galf	kloc'h-galv
nervennet	nervennet
leaz	leaz
didommagein	dizomajiñ
glaf	glav
genou-kamm	genoù-kamm
dem-velen	damvelen
bag	bag
an drabel	trabell
setim	setim
reglet	reglet
fellout	fellel
hent	hent
kioc'h-vor	gioc'h-mor
erec	ereg
avantachi	avantajiñ
itik	itik
prozen	prozenn
garanté	karantez
boset	boset
garnabet	garenebiñ
sikour ouz	sikour
sparv	sparf
a vamen	avamañ
ploboro	ploboroù
greadigez	graedigezh
ma jouisont a	jouisañ
bourrus	bourrus
rucunus	rukunus
kouita	kuita
pussuniet	pusuniet
a ziabarh	a-ziabarzh
eur bostel	postel
politik	politik
viaderez	gwiaderez
poah	poah
divordein	divordañ
pibit	pibid
dineza	dinezañ
attrapet	atrapet
ar peurliesa	peurliesañ
didroel	didroell
ostañtet	ostant
c'houip	c'hwib
riolen	riolenn
fass a fass	fas-ha-fas
belostou	belost
