bancqouilinocq	ilinek
Koublerlevriou	koublerlevrio
sec'hedet	sec'hedet
ephod	efod
nafionquet	fioni
gouremou	gourem
scarh	skarzh
exterior	eksterior
porc'helgouez	porc'hellgouez
ed	devedenn
Autr	aoter
Trguidel	Tregedel
caige	kej
DenaIliz	denaIliz
Tremenlec'h	tremenlec'h
zumudi	sumudi
aziabarz	aziabarzh
agompetaz	kompeta
hint	int
renkennet	renkennet
porsrastel	porzhrastell
Arvouarenvraz	mouarennvras
oberiou	ober
kardelet	kardellet
berboellidigez	berrboellidigezh
hgean	hage
fuzilio	fuzuilha
Rouanezarfoennek	rouanez
truezouz	truez
poangaloun	poangalon
Vieller	vieller
disklapet	distlapadisklapa
Glaoar	glaouaerglaouer
arhoalh	rwalc'h
gwastelled	gwastelli
dichagrin	dichagrin
bromission	promision
Brenniliz	Brenniliz
Daouzekuget	daouzekugent
drougarchas	drougarchas
Japon	Japon
Dider	Dider
Hamsentus	amsentus
Maperdeuio	peurzont
varentenn	wareeuntenn
enemdana	tana
drettat	dretaat
diglosset	digloset
asprena	asprena
fronellou	fronell
Peurglozet	peurglozet
struz	struzh
dourdiluch	dourdiluj
adize	tizha
chakeinchakalchagein	chaokatchaokachaoki
sentuz	sentus
enebiez	enebiezh
klomet	koulmet
Barver	barverbarvier
reclom	reklom
divrit	diverit
instrujein	instruji
rotin	rotin
dibask	dibask
apparance	aparas
Aziarben	azirbenn
Hadgwellaat	adwellaat
Kernevihan	KernevKerne
dalletoc'h	dalet
aboell	aboell
beizik	beizik
siellet	siellasielli
dizonjer	dizojer
astommet	astommet
Hanaedigehvad	anavedigezh
tiezhnveg	tihavek
Kaladuria	kaladuria
talvouduz	talvoudus
darempredet	darempredet
skanvadurezou	skavadurezh
mouchet	mouched
bridouar	pridouar
pillennek	pilhenneg
plunnouearc'h	pluerc'h
bourlikhabourlok	berlikhaberlok
dic'hourda	dic'hourda
digalon	digalon
vezia	bezia
rizeennomae	rizennvaen
I	dis
arc'houarnamant	gouarnamant
torchennet	torchennet
onix	oniks
Clasc	klask
frugpenn	frugpenn
eihdad	eizhteziad
D'arpet	pet
ennhebezpikol	pezhpikol
fumi	fumafumifumal
prestou	prest
'nevesk	emesk
renket	renket
spurmantein	spurmanti
hantrr	hantereur
Quifniantesset	kevniantez
spurget	spurjaspurji
bremaik	bremaik
goalllez	gwallael
balustr	balustr
nedevezmeizeuz	meizmez
amzerdiveza	amzer
vovo	vovo
Keur	keur
oberklask	klask
Blasfematored	blasfematour
troc'hercoat	troc'herkoad
eurbalustrou	balustr
chalquet	chalket
rebutet	reputareputi
divouton	divounton
skeduz	skedus
dibratik	dibratik
soignus	sognus
goustet	gousti
dardur	duardur
bastet	bastet
Baran	baraenn
peurachu	peurechu
setuaze	setu
finvadenn	fivadenn
Normandi	Normandi
alert	alert
autramant	otramant
digoch	digoch
entanet	entanet
fermdigor	digor
dijadenn	dichadenn
kompagnunez	kompagnunezh
enemrei	rei
dissimur	disimur
goalhent	gwallhent
tafia	tafia
azerlagad	aserrlagad
ovoenni	gouenni
Adro	adro
dic'hlac'haret	dic'hlac'hari
roufennet	roufennet
Caozeaden	kaozeadenn
Azkavetoun	askavet
mousqedryen	mouskeder
viquelage	vikelajvikeliaj
rouignek	rognek
flip	flip
argalite	kalite
Izlat	izelaat
fik	fic'h
filosofe	filozof
dijell	dijell
aziboello	diboelladiboelli
humnaturrat	naturaat
dleour	dleour
enhefart	part
venadurez	benadurezh
imbecil	imbesil
gouiliadeu	goueliad
koadelv	koadelv
distrobel	distrobell
choura	chourachouri
dizabuzet	dizabuzet
pinijen	pinijenn
tr	tra
mandragore	mandragor
Cozle	kole
gaozeadenn	kaozeadenn
hirvelet	hirwelout
keuneudtan	keuneudtan
SantGoustan	SantGoustan
glizen	glizhenngwlizhenn
digredoni	digredoni
spernegou	sperneg
meudikaz	meudika
kigouarnour	gouarner
transportus	trasportus
Jermen	Jermen
abebmode	abepmod
vis	bis
orglzeu	orglez
devor	devor
dis	dis
houlius	houlius
suilhet	suilhasuilhi
frippon	fripon
Foeterezikarbelek	foeterezigarbeleg
Semeill	semeilh
abegeit	pegeit
c'hoariel	c'hoariell
Vodiliz	Bodiliz
parft	steredparfet
stoubenneg	stoubennek
varzoug	warzoug
flambeu	flambev
visericord	mizerikord
Lentuz	lentus
dizez	disez
divraza	divrazadivrazi
delerion	dleour
bugadet	bugadet
ingroez	engroez
brec'hhabrec'h	brec'hhabrec'h
Lauranz	Laoras
e	hent
ainou	aeno
douarran	douarran
caniet	kaniet
aillounat	hailhonihailhonat
azistrone	distrona
gwezbanan	gwezbanan
bebeild'erh	abepeild'arwezh
deveden	devedenn
deveden	devedenn
Tirren'	tirenni
Toupina	toupina
digoumpagnoun	digompagnun
bobardiogoz	bombardiougozh
chas	chas
zinac'h	dinac'hidinac'hadinac'h
azindantenn	azindantenn
norralhuourrerion	doralc'hwezer
Trest	trest
bac'hateet	bazhataet
Madianited	Madianit
estouen	stouistouastouetstouo
goumpaignunezou	kompagnunezh
Vikeliaj	vikelajvikeliaj
kaliriou	kalir
bouillasou	bouilhas
danan	tana
chafodou	chafod
zourbilh	sourbilh
gevredihuel	gevreduhel
Avoultrer	avoultreravoultrier
houbet	houbet
ahoulen	ahoulenn
tanflammet	tanflammet
adreushagahet	adreuzhagahed
hunan	eunan
baleant	baleant
qaouennesed	kaouennez
aiouank	ayaouank
arendevhat	diwezhad
louan	louan
largantus	largentezus
blean	plaen
kared	karet
fraudage	flodaj
Barabrased	barabrazed
Poulldoura	poulldoura
accouragein	akouraji
dic'hrasiet	dic'hrasiet
skoill	skoilh
divoc'h	boc'h
mizerdedistac'h	mizerdedistac'h
amzer	amzer
enemskuiza	skuizha
Sans	sas
nec'het	nec'het
lorb	lorb
tawed	tavet
couskhean	kouskehan
Vande	Vande
Douarmelen	douarmelen
bromessaou	promesa
dilladguele	dilhadgwele
kollet	koll
Dispara	disparadisparidisparat
isitet	isita
lorberion	lorber
deisiadet	deiziadet
filozofi	filozofi
eurbarti	parti
dadabat	tadabad
Comps	kompez
disc'hlac'har	disc'hlac'har
zaltin	saltin
ac'hruzuil	ac'hruzuilh
o	saotr
kuchennek	kuchennek
berveled	berrwelet
toutek	toutek
kikastenn	astenn
melandourn	melldorn
arrestance	arestas
tuemzer	tommzer
barrbrandon	barrbrandon
chilp	chilp
genedet	kenedet
distrilla	distrilha
merchad	merkad
lentidigez	lentidigezh
Treiliououarn	treilhhouarn
kraperigargwez	kraperiggwezkraperigargwez
greateundomaden	tommadenn
Moumoun	moumoun
guerc'hder	gwerc'hder
perpetuel	perpetuel
Dieubi	dieubi
ahdet	ahedet
renevezi	renevezi
ed	galez
ziskianted	diskianted
marc'hbleyn	blein
guentachou	gwentajo
gedikou	gedig
stalamardet	stalabardetstalamardet
kousket	kousketkouski
diotiez	diotiezh
n'emrodelenni	rodellenni
kolldaskiantvat	skiantvat
Sac'het	sac'het
Kofilis	kofilis
ch	se
enkrezi	enkrezi
dirankont	dirankontr
melenog	melenog
enemgomporti	komporti
azwelout	azgweloutazgwelet
pimant	pimant
Ind	int
instrugein	instruji
rebech	rebech
douaren	douarenn
zizalla	dizalla
digoustianz	digoustias
Gweachavez	gwezhavegwezhavez
diaboissance	diobeisas
devotius	devotius
chomabla	ablas
bifo	pif
p	pe
fimel	fimel
lorvez	lorwez
humzivlammein	divlamadivlami
beulim	binim
dirann	dirann
difeiz	difeiz
takezen	takezenn
dougunda	dougeeun
serruz	serrus
zrougentent	drougintent
reposvan	repozvan
gollont	koll
Kabestr	kabestr
efeeruz	eferus
pennkenta	pennkenta
tiskornadi	diskornadi
katekouyek	katekouilheg
fondzon	fondezonfondezion
grizienngrizion	griziengrizion
ouaskella	gwaskella
muiouzvui	muiouzhmui
ahoustvad	ac'houstvat
gros	gros
Divarc'hagnet	divac'hagna
divroedigueah	divroedigezh
bagatellage	bagatellaj
pervisca	peurwiska
rei	lufr
Sul	seul
Klaoustreer	klaoustreer
chkrivanil	skrivagnol
enf	e
toezhatoez	touezhatouez
nevezflamm	nevezflamm
feurlok	prolog
goasketoc'h	gwasket
adaol	adaol
beguelyyen	begelieg
enemdiambarassi	diambarasi
Eskeud	eskeud
rejanti	rejanti
barvok	barveg
nebhedetquet	pec'hedi
Bou	bo
livaden	livadenn
pi	pi
minorik	minor
torr	torr
leuemor	leuemor
Puilla	puilha
gwikefregwikhefre	gwikefre
gouez	gouez
Divroidi	divroaddivroiad
sinvez	sinvezh
reseourien	resever
Pingwz	pingouez
digreski	digreski
arwenik	gwennig
Hospitallerien	ospitaler
benadurez	benadurezh
rapine	rapin
diboumbel	dibombell
Tourtal	tourtaltourta
inclinationou	inklinasion
divodesti	divodesti
gwikefregwikhefre	gwikefre
bisou	bis
grizinkalgerzignkhal	grizinkal
vunsat	musat
devotius	devotius
dihouyc	diouiziek
schuh	skuizh
penneuquetan	pennkenta
eurzelladruez	truez
Abennneuze	abennneuze
fausoni	faosoni
baraouz	para
culatour	kulator
abldebl	abelldabell
diveiadagorf	divec'hiadivec'hadivec'hi
rozelloforn	rozellforn
sivellenna	sivellenna
aginou	eno
Nearvarket	arvari
zangr	dajer
aviade	gwiadi
luniou	Lun
Diranned	dirannet
ed	megel
ciquet	siket
disaezit	disaez
merzerentiou	merzherinti
broudryen	broder
taolru	ru
lorvez	lorwez
doueserez	touezerezhtouezierezh
furol	furol
avozadou	avozado
propic	propik
abardaveznoz	abardaevezhnoz
ioulc'ha	yourc'ha
Enemzic'hoantaad	dic'hoantaat
honbede	bede
badinach	badinaj
flatrerezed	flatrerez
Izella	izel
ingaillerion	ingailher
izelaat	izelaat
louzaouat	louzaouad
diboaniet	diboaniet
peurliesa	peurliesa
enemzantelaat	santelaat
euzi	euzhi
keeluz	kehelus
avent	avent
parveni	parveni
begulenod	bugulanaod
divodeste	divodest
c'hoaritoulpouliq	poullig
falvrud	fallvrud
azrannou	azrann
ebleo	eblev
zec'hor	sec'hor
foug	foug
henmahen	hennmahenn
randonen	randonenn
Forester	forester
countantamachou	kontantamant
Arvlaz	blaz
uzached	uzajet
skedus	skedus
guerh	gwerc'h
Trouskenna	trouskenna
grimaseryen	grimaser
anndaperien	taper
undinrdt	tenerded
enemdourta	tourtaltourta
Herri	Herri
glozard	glozard
dervennou	dervenn
herder	herrder
doare	ebat
noazpik	noazhpik
damzec'h	damsec'h
gonvor	govor
froderez	floderezh
avoultri	avoultri
arc'hirritan	karrtan
sammusoc'h	sammus
bistach	pistach
diwinkelat	diwinkelat
mouzik	mouzhig
voardoan	wardoan
goalisprit	gwallisprid
rizennouvoguer	rizennvoger
Tourqed	tourked
tillach	tilhaj
pouldroennou	poulldroenn
tetanos	tetanoz
dinobli	dinobli
azic'haloup	dic'haloupat
trousqennou	trouskenn
lurius	luzius
aboc	abok
scanvat	skavaat
consolusset	kosolus
Avoultrryen	avoultreravoultrier
uz	uz
ieuet	yeu
koumpez	kompez
chiquet	chiket
amzer	amzer
boleet	boleaboleatbolei
Chipotal	chipotalchipotat
forban	forbann
Koantoc'hzo	koant
menthe	mant
ober	furch
Houp	houp
diliamm	diliamm
labousikhorZalver	labousighorSalver
uzulierezo	uzurerezh
urhachemar	kasmare
enhec'herc'hen	ekerc'henn
henthouarn	henthouarn
afars	afars
famina	famina
lastreg	lustrugenn
warc'horre	warc'horre
alouberez	alouberezh
abistigas	pistiga
distagerien	distager
ispicer	ispiser
koreo	korreenn
gwel	gwall
tremeniat	tremeniad
voarem	gwaremm
Kernu	KernevKerne
keuneudet	keuneudet
rimadelled	rimadellet
klah	klask
dourbarr	dourbarr
cavlet	kavellet
ginaouegioc'h	genaouegigenaouegal
lastrussoc'h	lastrus
baliSJakes	Jakez
flipad	flipaflipatflipi
Zouarneneziz	Douarneneziz
horrerus	orrolus
redia	redia
arvaleanted	baleant
liorzadou	liorzhad
panerhada	panerhada
Nil	Nil
laervar	laer
edrohagezidro	didrei
veanre	anat
Goeliadgoueliad	goueliad
brizaotrouien	brizhaotrou
noazoutouzomp	noazoutnoazinoaz
touer	touer
sex	seks
diskorpul	diskorpul
Eurgarkleiz	kerc'heiz
Kaskalat	kaskalat
filosofed	filozof
zil	sil
